participant,exp,voice_pair,actor,emotion,level,contrast,stim_language,listener_group,native_stimulus,H_side,ccr_raw,score_H,rt_ms,n_replays,catch_pass,in_primary
P01,1,rav16_hap,rav16,hap,strong,H_vs_R@strong,en,cn,0,right,1,1,1064,0,1,1
P01,1,rav18_dis,rav18,dis,normal,H_vs_E@normal,en,cn,0,right,2,2,686,0,1,1
P01,1,rav20_fea_r2,rav20,fear,strong,H_vs_R@strong,en,cn,0,right,0,0,2622,0,1,1
P01,1,rav16_hap,rav16,hap,strong,H_vs_E@strong,en,cn,0,left,1,-1,11513,0,1,1
P01,1,rav08_ang,rav08,ang,normal,H_vs_E@normal,en,cn,0,left,-1,1,1360,1,1,1
P01,1,rav02_dis,rav02,dis,strong,H_vs_E@strong,en,cn,0,right,3,3,597,0,1,1
P01,1,rav18_dis,rav18,dis,strong,H_vs_E@strong,en,cn,0,right,2,2,575,0,1,1
P01,1,rav08_ang,rav08,ang,strong,H_vs_R@strong,en,cn,0,right,0,0,873,0,1,1
P01,1,rav08_ang,rav08,ang,strong,H_vs_E@strong,en,cn,0,left,-2,2,1470,0,1,1
P01,1,rav06_ang,rav06,ang,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,462,1,1,1
P01,1,rav16_hap,rav16,hap,strong,mute:H_vs_E@strong,en,cn,0,right,2,2,9159,0,1,1
P01,1,rav18_dis,rav18,dis,strong,mute:H_vs_E@strong,en,cn,0,left,-2,2,4609,0,1,1
P01,1,rav20_fea_r2,rav20,fear,strong,mute:H_vs_E@strong,en,cn,0,right,-2,-2,920,0,1,1
P01,1,rav10_fea,rav10,fear,strong,mute:H_vs_E@strong,en,cn,0,left,2,-2,953,0,1,1
P01,1,rav04_hap,rav04,hap,strong,mute:H_vs_E@strong,en,cn,0,left,2,-2,1218,0,1,1
P01,2,jp_hap_short_sentence,,hap,jp,L_vs_Lrev@jp,jp,cn,0,left,1,-1,1104,3,1,1
P01,2,cn_esd0002_short3_ang,,ang,cn,L_vs_Lrev@cn,cn,cn,1,right,-1,-1,450,1,1,1
P01,2,jp_sad_short_sentence,,sad,jp,L_vs_Lrev@jp,jp,cn,0,right,0,0,518,0,1,1
P01,2,en_ang_short_sentence,,ang,en,L_vs_E@en,en,cn,0,right,1,1,2145,0,1,1
P01,2,jp_sad_short_sentence,,sad,jp,L_vs_E@jp,jp,cn,0,left,3,-3,629,0,1,1
P01,2,en_ang_short_sentence,,ang,en,L_vs_Lrev@en,en,cn,0,left,0,0,979,0,1,1
P01,2,cn_esd0002_short3_hap,,hap,cn,L_vs_Lrev@cn,cn,cn,1,left,2,-2,591,0,1,1
P01,2,en_sad_short_sentence,,sad,en,L_vs_E@en,en,cn,0,right,-2,-2,798,0,1,1
P01,2,jp_hap_short_sentence,,hap,jp,L_vs_E@jp,jp,cn,0,right,-3,-3,635,0,1,1
P01,2,cn_esd0002_short3_sad,,sad,cn,L_vs_Lrev@cn,cn,cn,1,right,1,1,1023,0,1,1
P01,2,en_hap_short_sentence,,hap,en,L_vs_Lrev@en,en,cn,0,right,1,1,1371,0,1,1
P01,2,jp_ang_short_sentence,,ang,jp,L_vs_Lrev@jp,jp,cn,0,right,2,2,508,0,1,1
P01,2,cn_esd0002_short3_sad,,sad,cn,L_vs_E@cn,cn,cn,1,left,3,-3,230,0,1,1
P01,2,jp_ang_short_sentence,,ang,jp,L_vs_E@jp,jp,cn,0,left,1,-1,2194,1,1,1
P01,2,cn_esd0002_short3_hap,,hap,cn,L_vs_E@cn,cn,cn,1,right,-2,-2,907,0,1,1
P01,2,en_sad_short_sentence,,sad,en,L_vs_Lrev@en,en,cn,0,left,1,-1,747,0,1,1
P01,2,cn_esd0002_short3_ang,,ang,cn,L_vs_E@cn,cn,cn,1,left,-1,1,702,1,1,1
P01,2,en_hap_short_sentence,,hap,en,L_vs_E@en,en,cn,0,left,1,-1,617,0,1,1
P02,1,rav24_dis,rav24,dis,normal,H_vs_E@normal,en,cn,0,left,1,-1,811,1,1,1
P02,1,rav08_ang,rav08,ang,strong,H_vs_E@strong,en,cn,0,right,-2,-2,789,0,1,1
P02,1,rav08_ang,rav08,ang,normal,H_vs_E@normal,en,cn,0,right,-1,-1,1146,1,1,1
P02,1,rav14_hap,rav14,hap,strong,H_vs_E@strong,en,cn,0,left,1,-1,833,0,1,1
P02,1,rav02_ang,rav02,ang,normal,H_vs_E@normal,en,cn,0,right,0,0,805,1,1,1
P02,1,rav08_ang,rav08,ang,strong,H_vs_R@strong,en,cn,0,left,1,-1,792,0,1,1
P02,1,rav16_hap,rav16,hap,strong,H_vs_R@strong,en,cn,0,left,1,-1,802,1,1,1
P02,1,rav02_ang,rav02,ang,strong,H_vs_R@strong,en,cn,0,left,-1,1,1120,0,1,1
P02,1,rav18_dis,rav18,dis,strong,H_vs_E@strong,en,cn,0,left,2,-2,742,0,1,1
P02,1,rav06_ang,rav06,ang,strong,H_vs_R@strong,en,cn,0,right,-1,-1,910,1,1,1
P02,1,rav04_hap,rav04,hap,normal,H_vs_E@normal,en,cn,0,right,1,1,647,0,1,1
P02,1,rav20_fea_r2,rav20,fear,strong,H_vs_R@strong,en,cn,0,left,0,0,996,0,1,1
P02,1,rav24_dis,rav24,dis,strong,H_vs_R@strong,en,cn,0,right,-1,-1,644,0,1,1
P02,1,rav14_hap,rav14,hap,strong,H_vs_R@strong,en,cn,0,right,1,1,518,0,1,1
P02,1,rav12_fea_r2,rav12,fear,strong,H_vs_R@strong,en,cn,0,left,1,-1,1044,0,1,1
P02,1,rav06_ang,rav06,ang,normal,H_vs_E@normal,en,cn,0,left,2,-2,744,0,1,1
P02,1,rav20_fea_r2,rav20,fear,strong,H_vs_E@strong,en,cn,0,right,1,1,2323,0,1,1
P02,1,rav16_hap,rav16,hap,strong,H_vs_E@strong,en,cn,0,right,-1,-1,869,0,1,1
P02,1,rav20_fea_r2,rav20,fear,normal,H_vs_E@normal,en,cn,0,right,0,0,660,1,1,1
P02,1,rav02_dis,rav02,dis,strong,H_vs_E@strong,en,cn,0,left,2,-2,962,0,1,1
P02,1,rav16_hap,rav16,hap,normal,H_vs_E@normal,en,cn,0,right,-1,-1,725,1,1,1
P02,1,rav02_dis,rav02,dis,strong,H_vs_R@strong,en,cn,0,right,-1,-1,586,0,1,1
P02,1,rav04_hap,rav04,hap,strong,H_vs_E@strong,en,cn,0,right,-1,-1,810,0,1,1
P02,1,rav02_dis,rav02,dis,normal,H_vs_E@normal,en,cn,0,left,0,0,1159,0,1,1
P02,1,rav10_fea,rav10,fear,strong,H_vs_R@strong,en,cn,0,right,1,1,1091,0,1,1
P02,1,rav12_fea_r2,rav12,fear,strong,H_vs_E@strong,en,cn,0,right,-1,-1,617,0,1,1
P02,1,rav04_hap,rav04,hap,strong,H_vs_R@strong,en,cn,0,left,-1,1,444,0,1,1
P02,1,rav10_fea,rav10,fear,normal,H_vs_E@normal,en,cn,0,left,0,0,555,0,1,1
P02,1,rav12_fea_r2,rav12,fear,normal,H_vs_E@normal,en,cn,0,right,-1,-1,608,0,1,1
P02,1,rav18_dis,rav18,dis,strong,H_vs_R@strong,en,cn,0,right,-2,-2,597,0,1,1
P02,1,rav02_ang,rav02,ang,strong,H_vs_E@strong,en,cn,0,right,-1,-1,745,0,1,1
P02,1,rav06_ang,rav06,ang,strong,H_vs_E@strong,en,cn,0,left,0,0,1032,0,1,1
P02,1,rav14_hap,rav14,hap,normal,H_vs_E@normal,en,cn,0,left,-2,2,614,0,1,1
P02,1,rav10_fea,rav10,fear,strong,H_vs_E@strong,en,cn,0,left,2,-2,589,0,1,1
P02,1,rav18_dis,rav18,dis,normal,H_vs_E@normal,en,cn,0,left,3,-3,449,0,1,1
P02,1,rav24_dis,rav24,dis,strong,H_vs_E@strong,en,cn,0,left,2,-2,565,0,1,1
P02,1,rav06_ang,rav06,ang,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,770,1,1,1
P02,1,rav04_hap,rav04,hap,strong,mute:H_vs_E@strong,en,cn,0,right,2,2,1526,0,1,1
P02,1,rav18_dis,rav18,dis,strong,mute:H_vs_E@strong,en,cn,0,right,-3,-3,473,0,1,1
P02,1,rav20_fea_r2,rav20,fear,strong,mute:H_vs_E@strong,en,cn,0,left,2,-2,656,0,1,1
P02,1,rav16_hap,rav16,hap,strong,mute:H_vs_E@strong,en,cn,0,left,2,-2,887,0,1,1
P02,1,rav10_fea,rav10,fear,strong,mute:H_vs_E@strong,en,cn,0,right,-2,-2,786,0,1,1
P02,2,cn_esd0002_short3_hap,,hap,cn,L_vs_E@cn,cn,cn,1,left,1,-1,1354,0,1,1
P02,2,jp_ang_short_sentence,,ang,jp,L_vs_E@jp,jp,cn,0,right,0,0,1111,0,1,1
P02,2,en_sad_short_sentence,,sad,en,L_vs_E@en,en,cn,0,left,1,-1,1030,0,1,1
P02,2,cn_esd0002_short3_ang,,ang,cn,L_vs_Lrev@cn,cn,cn,1,left,1,-1,746,0,1,1
P02,2,jp_hap_short_sentence,,hap,jp,L_vs_E@jp,jp,cn,0,left,2,-2,1323,1,1,1
P02,2,en_sad_short_sentence,,sad,en,L_vs_Lrev@en,en,cn,0,right,1,1,1117,0,1,1
P02,2,cn_esd0002_short3_ang,,ang,cn,L_vs_E@cn,cn,cn,1,right,-2,-2,780,0,1,1
P02,2,jp_sad_short_sentence,,sad,jp,L_vs_E@jp,jp,cn,0,right,-1,-1,611,0,1,1
P02,2,en_hap_short_sentence,,hap,en,L_vs_Lrev@en,en,cn,0,left,-1,1,547,0,1,1
P02,2,cn_esd0002_short3_sad,,sad,cn,L_vs_E@cn,cn,cn,1,right,-1,-1,643,0,1,1
P02,2,en_ang_short_sentence,,ang,en,L_vs_Lrev@en,en,cn,0,right,1,1,1285,0,1,1
P02,2,cn_esd0002_short3_sad,,sad,cn,L_vs_Lrev@cn,cn,cn,1,left,-1,1,590,0,1,1
P02,2,jp_hap_short_sentence,,hap,jp,L_vs_Lrev@jp,jp,cn,0,right,2,2,575,0,1,1
P02,2,en_ang_short_sentence,,ang,en,L_vs_E@en,en,cn,0,left,0,0,912,0,1,1
P02,2,jp_sad_short_sentence,,sad,jp,L_vs_Lrev@jp,jp,cn,0,left,1,-1,845,0,1,1
P02,2,cn_esd0002_short3_hap,,hap,cn,L_vs_Lrev@cn,cn,cn,1,right,-1,-1,623,1,1,1
P02,2,jp_ang_short_sentence,,ang,jp,L_vs_Lrev@jp,jp,cn,0,left,0,0,661,0,1,1
P02,2,en_hap_short_sentence,,hap,en,L_vs_E@en,en,cn,0,right,-2,-2,993,0,1,1
P03,1,rav08_ang,rav08,ang,normal,H_vs_E@normal,en,cn,0,right,1,1,1904,0,1,1
P03,1,rav02_ang,rav02,ang,strong,H_vs_E@strong,en,cn,0,right,2,2,1075,1,1,1
P03,1,rav08_ang,rav08,ang,strong,H_vs_R@strong,en,cn,0,left,0,0,1531,2,1,1
P03,1,rav18_dis,rav18,dis,strong,H_vs_E@strong,en,cn,0,left,1,-1,1394,1,1,1
P03,1,rav10_fea,rav10,fear,strong,H_vs_R@strong,en,cn,0,right,0,0,1548,1,1,1
P03,1,rav02_dis,rav02,dis,strong,H_vs_E@strong,en,cn,0,left,1,-1,1386,1,1,1
P03,1,rav24_dis,rav24,dis,strong,H_vs_E@strong,en,cn,0,left,1,-1,1579,1,1,1
P03,1,rav20_fea_r2,rav20,fear,strong,H_vs_R@strong,en,cn,0,left,0,0,1112,0,1,1
P03,1,rav14_hap,rav14,hap,strong,H_vs_E@strong,en,cn,0,left,-2,2,1017,1,1,1
P03,1,rav02_dis,rav02,dis,strong,H_vs_R@strong,en,cn,0,right,1,1,1029,0,1,1
P03,1,rav12_fea_r2,rav12,fear,normal,H_vs_E@normal,en,cn,0,right,1,1,1266,1,1,1
P03,1,rav06_ang,rav06,ang,strong,H_vs_R@strong,en,cn,0,right,-2,-2,1005,2,1,1
P03,1,rav20_fea_r2,rav20,fear,normal,H_vs_E@normal,en,cn,0,right,1,1,957,3,1,1
P03,1,rav02_ang,rav02,ang,strong,H_vs_R@strong,en,cn,0,left,2,-2,1326,0,1,1
P03,1,rav20_fea_r2,rav20,fear,strong,H_vs_E@strong,en,cn,0,right,0,0,1030,1,1,1
P03,1,rav16_hap,rav16,hap,strong,H_vs_E@strong,en,cn,0,right,2,2,984,0,1,1
P03,1,rav12_fea_r2,rav12,fear,strong,H_vs_R@strong,en,cn,0,left,-1,1,881,0,1,1
P03,1,rav10_fea,rav10,fear,normal,H_vs_E@normal,en,cn,0,left,-1,1,1025,2,1,1
P03,1,rav02_ang,rav02,ang,normal,H_vs_E@normal,en,cn,0,right,2,2,860,0,1,1
P03,1,rav24_dis,rav24,dis,normal,H_vs_E@normal,en,cn,0,left,1,-1,1370,2,1,1
P03,1,rav10_fea,rav10,fear,strong,H_vs_E@strong,en,cn,0,left,1,-1,1710,2,1,1
P03,1,rav06_ang,rav06,ang,normal,H_vs_E@normal,en,cn,0,left,-1,1,3700,2,1,1
P03,1,rav24_dis,rav24,dis,strong,H_vs_R@strong,en,cn,0,right,0,0,1307,1,1,1
P03,1,rav08_ang,rav08,ang,strong,H_vs_E@strong,en,cn,0,right,-1,-1,1567,2,1,1
P03,1,rav14_hap,rav14,hap,strong,H_vs_R@strong,en,cn,0,right,1,1,791,1,1,1
P03,1,rav16_hap,rav16,hap,strong,H_vs_R@strong,en,cn,0,left,-2,2,1226,1,1,1
P03,1,rav12_fea_r2,rav12,fear,strong,H_vs_E@strong,en,cn,0,right,0,0,1867,1,1,1
P03,1,rav06_ang,rav06,ang,strong,H_vs_E@strong,en,cn,0,left,0,0,1301,2,1,1
P03,1,rav14_hap,rav14,hap,normal,H_vs_E@normal,en,cn,0,left,-1,1,2075,4,1,1
P03,1,rav04_hap,rav04,hap,normal,H_vs_E@normal,en,cn,0,right,1,1,1307,0,1,1
P03,1,rav04_hap,rav04,hap,strong,H_vs_E@strong,en,cn,0,right,1,1,940,0,1,1
P03,1,rav18_dis,rav18,dis,normal,H_vs_E@normal,en,cn,0,left,1,-1,920,1,1,1
P03,1,rav04_hap,rav04,hap,strong,H_vs_R@strong,en,cn,0,left,-1,1,971,0,1,1
P03,1,rav16_hap,rav16,hap,normal,H_vs_E@normal,en,cn,0,right,1,1,786,3,1,1
P03,1,rav18_dis,rav18,dis,strong,H_vs_R@strong,en,cn,0,right,1,1,667,0,1,1
P03,1,rav02_dis,rav02,dis,normal,H_vs_E@normal,en,cn,0,left,1,-1,1650,1,1,1
P03,1,rav16_hap,rav16,hap,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,919,5,1,1
P03,1,rav18_dis,rav18,dis,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,1359,1,1,1
P03,1,rav04_hap,rav04,hap,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,660,0,1,1
P03,1,rav20_fea_r2,rav20,fear,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,720,0,1,1
P03,1,rav10_fea,rav10,fear,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,871,1,1,1
P03,1,rav06_ang,rav06,ang,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,903,0,1,1
P03,2,jp_ang_short_sentence,,ang,jp,L_vs_Lrev@jp,jp,cn,0,left,1,-1,1798,4,1,1
P03,2,cn_esd0002_short3_sad,,sad,cn,L_vs_Lrev@cn,cn,cn,1,left,0,0,2013,2,1,1
P03,2,en_ang_short_sentence,,ang,en,L_vs_Lrev@en,en,cn,0,right,-1,-1,1552,1,1,1
P03,2,cn_esd0002_short3_hap,,hap,cn,L_vs_Lrev@cn,cn,cn,1,right,1,1,899,3,1,1
P03,2,jp_sad_short_sentence,,sad,jp,L_vs_Lrev@jp,jp,cn,0,left,-1,1,1167,1,1,1
P03,2,cn_esd0002_short3_ang,,ang,cn,L_vs_E@cn,cn,cn,1,right,2,2,1304,1,1,1
P03,2,en_hap_short_sentence,,hap,en,L_vs_E@en,en,cn,0,right,1,1,1860,0,1,1
P03,2,jp_sad_short_sentence,,sad,jp,L_vs_E@jp,jp,cn,0,right,1,1,1028,0,1,1
P03,2,cn_esd0002_short3_ang,,ang,cn,L_vs_Lrev@cn,cn,cn,1,left,1,-1,846,0,1,1
P03,2,en_hap_short_sentence,,hap,en,L_vs_Lrev@en,en,cn,0,left,0,0,1439,2,1,1
P03,2,jp_ang_short_sentence,,ang,jp,L_vs_E@jp,jp,cn,0,right,0,0,1261,0,1,1
P03,2,en_sad_short_sentence,,sad,en,L_vs_E@en,en,cn,0,left,1,-1,1241,1,1,1
P03,2,jp_hap_short_sentence,,hap,jp,L_vs_E@jp,jp,cn,0,left,0,0,947,2,1,1
P03,2,cn_esd0002_short3_sad,,sad,cn,L_vs_E@cn,cn,cn,1,right,-2,-2,1490,2,1,1
P03,2,jp_hap_short_sentence,,hap,jp,L_vs_Lrev@jp,jp,cn,0,right,0,0,1386,1,1,1
P03,2,en_ang_short_sentence,,ang,en,L_vs_E@en,en,cn,0,left,0,0,1326,3,1,1
P03,2,cn_esd0002_short3_hap,,hap,cn,L_vs_E@cn,cn,cn,1,left,1,-1,815,1,1,1
P03,2,en_sad_short_sentence,,sad,en,L_vs_Lrev@en,en,cn,0,right,1,1,1418,3,1,1
P04,1,rav12_fea_r2,rav12,fear,normal,H_vs_E@normal,en,cn,0,left,-1,1,1853,0,1,1
P04,1,rav24_dis,rav24,dis,normal,H_vs_E@normal,en,cn,0,right,-1,-1,1707,0,1,1
P04,1,rav02_dis,rav02,dis,strong,H_vs_E@strong,en,cn,0,right,0,0,869,0,1,1
P04,1,rav02_ang,rav02,ang,strong,H_vs_E@strong,en,cn,0,left,-1,1,1343,0,1,1
P04,1,rav16_hap,rav16,hap,strong,H_vs_R@strong,en,cn,0,right,-1,-1,795,0,1,1
P04,1,rav06_ang,rav06,ang,strong,H_vs_R@strong,en,cn,0,left,1,-1,808,0,1,1
P04,1,rav24_dis,rav24,dis,strong,H_vs_E@strong,en,cn,0,right,1,1,985,0,1,1
P04,1,rav02_ang,rav02,ang,normal,H_vs_E@normal,en,cn,0,left,1,-1,1611,0,1,1
P04,1,rav14_hap,rav14,hap,strong,H_vs_R@strong,en,cn,0,left,-1,1,1176,0,1,1
P04,1,rav12_fea_r2,rav12,fear,strong,H_vs_E@strong,en,cn,0,left,-1,1,897,1,1,1
P04,1,rav02_ang,rav02,ang,strong,H_vs_R@strong,en,cn,0,right,1,1,779,0,1,1
P04,1,rav16_hap,rav16,hap,normal,H_vs_E@normal,en,cn,0,left,-1,1,1273,0,1,1
P04,1,rav04_hap,rav04,hap,strong,H_vs_R@strong,en,cn,0,right,1,1,989,0,1,1
P04,1,rav02_dis,rav02,dis,normal,H_vs_E@normal,en,cn,0,right,1,1,884,0,1,1
P04,1,rav02_dis,rav02,dis,strong,H_vs_R@strong,en,cn,0,left,1,-1,700,0,1,1
P04,1,rav16_hap,rav16,hap,strong,H_vs_E@strong,en,cn,0,left,-1,1,917,0,1,1
P04,1,rav04_hap,rav04,hap,strong,H_vs_E@strong,en,cn,0,left,1,-1,602,0,1,1
P04,1,rav10_fea,rav10,fear,strong,H_vs_R@strong,en,cn,0,left,-1,1,954,1,1,1
P04,1,rav14_hap,rav14,hap,strong,H_vs_E@strong,en,cn,0,right,-1,-1,1125,0,1,1
P04,1,rav04_hap,rav04,hap,normal,H_vs_E@normal,en,cn,0,left,1,-1,915,0,1,1
P04,1,rav14_hap,rav14,hap,normal,H_vs_E@normal,en,cn,0,right,1,1,2175,0,1,1
P04,1,rav08_ang,rav08,ang,strong,H_vs_R@strong,en,cn,0,right,1,1,1715,1,1,1
P04,1,rav20_fea_r2,rav20,fear,strong,H_vs_E@strong,en,cn,0,left,1,-1,1465,0,1,1
P04,1,rav12_fea_r2,rav12,fear,strong,H_vs_R@strong,en,cn,0,right,-1,-1,834,0,1,1
P04,1,rav08_ang,rav08,ang,strong,H_vs_E@strong,en,cn,0,left,-1,1,726,0,1,1
P04,1,rav20_fea_r2,rav20,fear,normal,H_vs_E@normal,en,cn,0,left,-1,1,769,0,1,1
P04,1,rav18_dis,rav18,dis,strong,H_vs_E@strong,en,cn,0,right,1,1,899,0,1,1
P04,1,rav08_ang,rav08,ang,normal,H_vs_E@normal,en,cn,0,left,1,-1,5949,0,1,1
P04,1,rav24_dis,rav24,dis,strong,H_vs_R@strong,en,cn,0,left,-1,1,758,0,1,1
P04,1,rav10_fea,rav10,fear,normal,H_vs_E@normal,en,cn,0,right,1,1,790,0,1,1
P04,1,rav20_fea_r2,rav20,fear,strong,H_vs_R@strong,en,cn,0,right,1,1,912,0,1,1
P04,1,rav06_ang,rav06,ang,normal,H_vs_E@normal,en,cn,0,right,1,1,643,0,1,1
P04,1,rav18_dis,rav18,dis,strong,H_vs_R@strong,en,cn,0,left,1,-1,737,0,1,1
P04,1,rav18_dis,rav18,dis,normal,H_vs_E@normal,en,cn,0,right,1,1,636,0,1,1
P04,1,rav06_ang,rav06,ang,strong,H_vs_E@strong,en,cn,0,right,1,1,595,0,1,1
P04,1,rav10_fea,rav10,fear,strong,H_vs_E@strong,en,cn,0,right,1,1,623,0,1,1
P04,1,rav10_fea,rav10,fear,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,820,1,1,1
P04,1,rav18_dis,rav18,dis,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,887,0,1,1
P04,1,rav20_fea_r2,rav20,fear,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,1116,0,1,1
P04,1,rav16_hap,rav16,hap,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,1009,0,1,1
P04,1,rav06_ang,rav06,ang,strong,mute:H_vs_E@strong,en,cn,0,right,1,1,686,0,1,1
P04,1,rav04_hap,rav04,hap,strong,mute:H_vs_E@strong,en,cn,0,left,-1,1,774,0,1,1
P04,2,jp_sad_short_sentence,,sad,jp,L_vs_E@jp,jp,cn,0,left,-1,1,1442,1,1,1
P04,2,en_ang_short_sentence,,ang,en,L_vs_Lrev@en,en,cn,0,left,-1,1,1157,0,1,1
P04,2,jp_sad_short_sentence,,sad,jp,L_vs_Lrev@jp,jp,cn,0,right,-1,-1,689,1,1,1
P04,2,cn_esd0002_short3_ang,,ang,cn,L_vs_Lrev@cn,cn,cn,1,right,1,1,878,1,1,1
P04,2,en_hap_short_sentence,,hap,en,L_vs_E@en,en,cn,0,left,1,-1,1406,0,1,1
P04,2,cn_esd0002_short3_sad,,sad,cn,L_vs_Lrev@cn,cn,cn,1,right,1,1,1523,1,1,1
P04,2,jp_hap_short_sentence,,hap,jp,L_vs_Lrev@jp,jp,cn,0,left,-1,1,1587,0,1,1
P04,2,en_ang_short_sentence,,ang,en,L_vs_E@en,en,cn,0,right,1,1,1536,0,1,1
P04,2,cn_esd0002_short3_hap,,hap,cn,L_vs_Lrev@cn,cn,cn,1,left,1,-1,733,1,1,1
P04,2,en_sad_short_sentence,,sad,en,L_vs_E@en,en,cn,0,right,1,1,1156,0,1,1
P04,2,jp_ang_short_sentence,,ang,jp,L_vs_Lrev@jp,jp,cn,0,right,1,1,1197,0,1,1
P04,2,en_hap_short_sentence,,hap,en,L_vs_Lrev@en,en,cn,0,right,1,1,1027,1,1,1
P04,2,cn_esd0002_short3_sad,,sad,cn,L_vs_E@cn,cn,cn,1,left,1,-1,1449,0,1,1
P04,2,jp_hap_short_sentence,,hap,jp,L_vs_E@jp,jp,cn,0,right,1,1,1097,0,1,1
P04,2,cn_esd0002_short3_ang,,ang,cn,L_vs_E@cn,cn,cn,1,left,1,-1,1148,0,1,1
P04,2,en_sad_short_sentence,,sad,en,L_vs_Lrev@en,en,cn,0,left,-1,1,1109,0,1,1
P04,2,cn_esd0002_short3_hap,,hap,cn,L_vs_E@cn,cn,cn,1,right,1,1,1063,0,1,1
P04,2,jp_ang_short_sentence,,ang,jp,L_vs_E@jp,jp,cn,0,left,-1,1,959,0,1,1
P05,1,rav14_hap,rav14,hap,normal,H_vs_E@normal,en,cn,0,right,0,0,1595,0,1,1
P05,1,rav10_fea,rav10,fear,strong,H_vs_R@strong,en,cn,0,left,-2,2,626,0,1,1
P05,1,rav06_ang,rav06,ang,strong,H_vs_R@strong,en,cn,0,left,-1,1,507,1,1,1
P05,1,rav12_fea_r2,rav12,fear,normal,H_vs_E@normal,en,cn,0,left,1,-1,883,0,1,1
P05,1,rav02_ang,rav02,ang,strong,H_vs_E@strong,en,cn,0,left,-1,1,512,1,1,1
P05,1,rav14_hap,rav14,hap,strong,H_vs_R@strong,en,cn,0,left,-2,2,1536,0,1,1
P05,1,rav24_dis,rav24,dis,strong,H_vs_E@strong,en,cn,0,right,1,1,895,1,1,1
